[oov] SPN
!SIL SIL
[laugh] SPN
[reject] NSN
+'+  SIL 
+a  A
+a+  A 
+aah  A A H
+aah+  A A H 
+aakkos  A A K K O S
+aakkos+  A A K K O S 
+aalei  A A L E I
+aalei+  A A L E I 
+aaleja  A A L E J A
+aaleja+  A A L E J A 
+aali  A A L I
+aali+  A A L I 
+aallo  A A L L O
+aallo+  A A L L O 
+aalto  A A L T O
+aalto+  A A L T O 
+aamaan  A A M A A N
+aamaan+  A A M A A N 
+aamassa  A A M A S S A
+aamassa+  A A M A S S A 
+aami  A A M I
+aami+  A A M I 
+aamiais  A A M I A I S
+aamiais+  A A M I A I S 
+aaminen  A A M I N E N
+aaminen+  A A M I N E N 
+aamu  A A M U
+aamu+  A A M U 
+aamupala  A A M U P A L A
+aamupala+  A A M U P A L A 
+aan  A A N
+aan+  A A N 
+aari  A A R I
+aari+  A A R I 
+aaro  A A R O
+aaro+  A A R O 
+aasialais+  A A S I A L A I S 
+aate  A A T E
+aate+  A A T E 
+aatel+  A A T E L 
+aatio  A A T I O
+aatio+  A A T I O 
+aatit  A A T I T
+aatit+  A A T I T 
+aato  A A T O
+aato+  A A T O 
+aatte  A A T T E
+aatte+  A A T T E 
+aattee  A A T T E E
+aattee+  A A T T E E 
+aattele  A A T T E L E
+aattele+  A A T T E L E 
+aatteli  A A T T E L I
+aatteli+  A A T T E L I 
+aatti  A A T T I
+aatti+  A A T T I 
+aatto  A A T T O
+aatto+  A A T T O 
+aattorei  A A T T O R E I
+aattorei+  A A T T O R E I 
+aattori  A A T T O R I
+aattori+  A A T T O R I 
+aave  A A V E
+aave+  A A V E 
+aavik+  A A V I K 
+aavis  A A V I S
+aavis+  A A V I S 
+abort+  A B O R T 
+abortti  A B O R T T I
+abortti+  A B O R T T I 
+abso+  A B S O 
+abstr+  A B S T R 
+acc+  A K K 
+acti  A K T I
+acti+  A K T I 
+adap  A D A P
+adap+  A D A P 
+add+  A D D 
+addi  A D D I
+addi+  A D D I 
+addikti  A D D I K T I
+addikti+  A D D I K T I 
+adoptio  A D O P T I O
+adoptio+  A D O P T I O 
+adoptoi+  A D O P T O I 
+adrena+  A D R E N A 
+adressi  A D R E S S I
+adressi+  A D R E S S I 
+advent+  A D V E N T 
+aerob+  A E R O B 
+afrika+  A F R I K A 
+afrikka  A F R I K K A
+afrikka+  A F R I K K A 
+after  A F T E R
+agent  A G E N T
+agent+  A G E N T 
+aggre+  A G G R E 
+aggressiivi+  A G G R E S S I I V I 
+agne  A G N E
+agne+  A G N E 
+agressiivi+  A G R E S S I I V I 
+ahahahah  A H A H A H A H
+ahahahah+  A H A H A H A H 
+ahahahahaha  A H A H A H A H A H A
+ahahahahaha+  A H A H A H A H A H A 
+ahahhah  A H A H H A H
+ahahhah+  A H A H H A H 
+ahda  A H D A
+ahda+  A H D A 
+ahdettu  A H D E T T U
+ahdettu+  A H D E T T U 
+ahdis  A H D I S
+ahdis+  A H D I S 
+ahdista  A H D I S T A
+ahdista+  A H D I S T A 
+ahdistel+  A H D I S T E L 
+ahdistu+  A H D I S T U 
+ahhaa  A H H A A
+ahhaa+  A H H A A 
+ahhah  A H H A H
+ahhah+  A H H A H 
+ahhahah  A H H A H A H
+ahhahah+  A H H A H A H 
+ahhahahah  A H H A H A H A H
+ahhahahah+  A H H A H A H A H 
+ahista  A H I S T A
+ahista+  A H I S T A 
+ahistu  A H I S T U
+ahistu+  A H I S T U 
+ahker+  A H K E R 
+ahl  A H L
+ahl+  A H L 
+ahma  A H M A
+ahma+  A H M A 
